"","missings.Variable","missings.Count"
"Id","Id",0
"MSSubClass","MSSubClass",0
"MSZoning","MSZoning",0
"LotFrontage","LotFrontage",259
"LotArea","LotArea",0
"Street","Street",0
"Alley","Alley",1369
"LotShape","LotShape",0
"LandContour","LandContour",0
"Utilities","Utilities",0
"LotConfig","LotConfig",0
"LandSlope","LandSlope",0
"Neighborhood","Neighborhood",0
"Condition1","Condition1",0
"Condition2","Condition2",0
"BldgType","BldgType",0
"HouseStyle","HouseStyle",0
"OverallQual","OverallQual",0
"OverallCond","OverallCond",0
"YearBuilt","YearBuilt",0
"YearRemodAdd","YearRemodAdd",0
"RoofStyle","RoofStyle",0
"RoofMatl","RoofMatl",0
"Exterior1st","Exterior1st",0
"Exterior2nd","Exterior2nd",0
"MasVnrType","MasVnrType",8
"MasVnrArea","MasVnrArea",8
"ExterQual","ExterQual",0
"ExterCond","ExterCond",0
"Foundation","Foundation",0
"BsmtQual","BsmtQual",37
"BsmtCond","BsmtCond",37
"BsmtExposure","BsmtExposure",38
"BsmtFinType1","BsmtFinType1",37
"BsmtFinSF1","BsmtFinSF1",0
"BsmtFinType2","BsmtFinType2",38
"BsmtFinSF2","BsmtFinSF2",0
"BsmtUnfSF","BsmtUnfSF",0
"TotalBsmtSF","TotalBsmtSF",0
"Heating","Heating",0
"HeatingQC","HeatingQC",0
"CentralAir","CentralAir",0
"Electrical","Electrical",1
"1stFlrSF","1stFlrSF",0
"2ndFlrSF","2ndFlrSF",0
"LowQualFinSF","LowQualFinSF",0
"GrLivArea","GrLivArea",0
"BsmtFullBath","BsmtFullBath",0
"BsmtHalfBath","BsmtHalfBath",0
"FullBath","FullBath",0
"HalfBath","HalfBath",0
"BedroomAbvGr","BedroomAbvGr",0
"KitchenAbvGr","KitchenAbvGr",0
"KitchenQual","KitchenQual",0
"TotRmsAbvGrd","TotRmsAbvGrd",0
"Functional","Functional",0
"Fireplaces","Fireplaces",0
"FireplaceQu","FireplaceQu",690
"GarageType","GarageType",81
"GarageYrBlt","GarageYrBlt",81
"GarageFinish","GarageFinish",81
"GarageCars","GarageCars",0
"GarageArea","GarageArea",0
"GarageQual","GarageQual",81
"GarageCond","GarageCond",81
"PavedDrive","PavedDrive",0
"WoodDeckSF","WoodDeckSF",0
"OpenPorchSF","OpenPorchSF",0
"EnclosedPorch","EnclosedPorch",0
"3SsnPorch","3SsnPorch",0
"ScreenPorch","ScreenPorch",0
"PoolArea","PoolArea",0
"PoolQC","PoolQC",1453
"Fence","Fence",1179
"MiscFeature","MiscFeature",1406
"MiscVal","MiscVal",0
"MoSold","MoSold",0
"YrSold","YrSold",0
"SaleType","SaleType",0
"SaleCondition","SaleCondition",0
"SalePrice","SalePrice",0
